1.12	6.7299	0.0698	-0.7867	1.8481
1.13	6.8764	0.0701	-0.8734	1.7979
1.14	7.0241	0.0703	-0.8209	1.3815
1.15	7.173	0.0705	-0.6772	0.56
1.16	7.323	0.0706	-0.6502	0.1781
1.17	7.4742	0.0708	-0.4378	-0.384
1.18	7.6266	0.0709	-0.1515	-1.3985
1.19	7.7802	0.071	0.0719	-2.0812
1.2	7.9349	0.0711	-0.0178	-1.5156
1.21	8.0907	0.0712	-0.006	-0.8185
1.22	8.2476	0.0713	0.0163	-0.6396
1.23	8.4057	0.0715	0.16	-0.9261
1.24	8.565	0.0716	0.2298	-1.1772
1.25	8.7253	0.0717	0.277	-1.1411
1.26	8.8868	0.0718	0.4017	-1.3259
1.27	9.0493	0.072	0.4271	-1.3447
1.28	9.213	0.0722	0.545	-1.4461
1.29	9.3778	0.0724	0.5195	-1.3098
1.3	9.5437	0.0726	0.3378	-0.4631
1.31	9.7106	0.0728	0.2849	0.0435
1.32	9.8787	0.073	0.0956	0.5197
1.33	10.0478	0.0733	0.0453	0.7373
1.34	10.218	0.0735	-0.1587	1.071
1.35	10.3893	0.0738	-0.1128	0.9114
1.36	10.5617	0.074	-0.3025	1.0044
1.37	10.7351	0.0742	-0.5559	1.7991
1.38	10.9096	0.0744	-0.6632	2.0679
1.39	11.0852	0.0746	-0.7403	1.8909
1.4	11.2618	0.0748	-0.7393	1.5223
1.41	11.4394	0.0749	-0.8941	1.6128
1.42	11.6181	0.0749	-0.9884	1.861
1.43	11.7978	0.075	-0.8208	1.1427
1.44	11.9786	0.075	-0.6502	0.1129
1.45	12.1604	0.075	-0.3777	-0.8842
1.46	12.3434	0.0749	-0.1462	-1.6726
1.47	12.5275	0.0749	0.0765	-2.1301
1.48	12.7129	0.0749	0.0345	-1.6825
1.49	12.8993	0.0748	-0.081	-0.6472
1.5	13.0869	0.0748	0.1564	-0.8912
1.51	13.2755	0.0748	0.3605	-1.7391
1.52	13.4652	0.0747	0.469	-1.9773
1.53	13.6559	0.0748	0.3434	-1.2713
1.54	13.8477	0.0748	0.4213	-0.9398
1.55	14.0405	0.0748	0.5321	-1.2785
1.56	14.2343	0.0749	0.455	-1.0295
1.57	14.4291	0.0749	0.4135	-0.5808
1.58	14.6249	0.075	0.4324	-0.5476
1.59	14.8217	0.0751	0.3665	-0.4025
1.6	15.0196	0.0752	0.1459	0.344
1.61	15.2184	0.0754	0.1573	0.4937
1.62	15.4182	0.0755	-0.0438	0.7523
1.63	15.6191	0.0756	-0.2647	1.4729
1.64	15.8209	0.0757	-0.2613	1.3614
1.65	16.0237	0.0759	-0.2144	0.7144
1.66	16.2275	0.076	-0.3019	0.624
1.67	16.4323	0.076	-0.251	0.459
1.68	16.6381	0.0761	-0.379	0.5997
1.69	16.8448	0.0762	-0.2984	0.4681
1.7	17.0525	0.0762	-0.2854	0.1428
1.71	17.2612	0.0763	-0.3305	0.2526
1.72	17.4708	0.0763	-0.4342	0.629
1.73	17.6814	0.0763	-0.2815	0.2452
1.74	17.8929	0.0763	-0.1972	-0.3536
1.75	18.1054	0.0763	-0.1759	-0.4207
1.76	18.3188	0.0763	-0.359	0.2702
1.77	18.5332	0.0763	-0.5164	1.0903
1.78	18.7485	0.0762	-0.3744	0.6972
1.79	18.9648	0.0761	-0.3402	0.1293
1.8	19.1819	0.0761	-0.405	0.288
1.81	19.4	0.076	-0.2813	0.0424
1.82	19.619	0.0759	-0.1534	-0.544
1.83	19.8389	0.0757	-0.216	-0.384
1.84	20.0597	0.0756	-0.2338	-0.0157
1.85	20.2815	0.0755	-0.193	-0.0526
